otuId	Confidence	Kingdom	Phylum	Class	Order	Family	Genus	Species
160	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Tyzzerella	
161	0	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanosaeta	
162	0	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	Oligoflexaceae_unclassified	
163	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Chelatococcus	
164	0	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Rhodocyclaceae	Rhodocyclaceae_unclassified	
165	0	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	uncultured	
166	0	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Rhodocyclaceae	Methyloversatilis	
167	0	Bacteria	Spirochaetes	MVP-15	MVP-15_or	MVP-15_fa	MVP-15_ge	
168	0	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Opitutaceae	Lacunisphaera	
169	0	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pirellula	
170	0	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	0319-6G20	0319-6G20_ge	
171	0	Bacteria	BRC1	BRC1_cl	BRC1_or	BRC1_fa	BRC1_ge	
172	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	uncultured	
173	0	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Domibacillus	
174	0	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Schlesneriaceae	Planctopirus	
175	0	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	
176	0	Bacteria	Patescibacteria	Parcubacteria	Parcubacteria_unclassified	Parcubacteria_unclassified	Parcubacteria_unclassified	
177	0	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter	
178	0	Bacteria	Patescibacteria	Gracilibacteria	Gracilibacteria_or	Gracilibacteria_fa	Gracilibacteria_ge	
179	0	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Acidibacter	
180	0	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfomicrobiaceae	Desulfomicrobium	
181	0	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	uncultured	
182	0	Bacteria	Patescibacteria	Gracilibacteria	Gracilibacteria_unclassified	Gracilibacteria_unclassified	Gracilibacteria_unclassified	
183	0	Bacteria	Zixibacteria	Zixibacteria_cl	Zixibacteria_or	Zixibacteria_fa	Zixibacteria_ge	
184	0	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Gordonia	
185	0	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	uncultured	uncultured_ge	
186	0	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	Nitrosomonadaceae_unclassified	
187	0	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	
188	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsiaceae_unclassified	
189	0	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	
190	0	Bacteria	Acidobacteria	Subgroup_17	Subgroup_17_or	Subgroup_17_fa	Subgroup_17_ge	
191	0	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobiaceae_unclassified	
192	0	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionales_unclassified	Micavibrionales_unclassified	
193	0	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	SC-I-84	SC-I-84_ge	
194	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aquamicrobium	
